id;date_postulation;statut_candidature;lettre_motivation
1;2025-07-30T04:53:48;REFUSEE_RECRUTEUR;../fake-data/blob/hipster.txt
2;2025-07-30T04:50:49;REFUSEE_RECRUTEUR;../fake-data/blob/hipster.txt
3;2025-07-30T03:24:26;EN_ATTENTE_VALIDATION_ADMIN;../fake-data/blob/hipster.txt
4;2025-07-29T14:03:15;EN_ATTENTE_VALIDATION_ADMIN;../fake-data/blob/hipster.txt
5;2025-07-29T17:01:22;VALIDEE_ADMIN;../fake-data/blob/hipster.txt
6;2025-07-29T13:32:19;EN_ATTENTE_VALIDATION_ADMIN;../fake-data/blob/hipster.txt
7;2025-07-29T22:23:48;REJETEE_ADMIN;../fake-data/blob/hipster.txt
8;2025-07-30T04:04:38;VALIDEE_ADMIN;../fake-data/blob/hipster.txt
9;2025-07-29T20:09:27;VUE_RECRUTEUR;../fake-data/blob/hipster.txt
10;2025-07-29T15:00:50;REFUSEE_RECRUTEUR;../fake-data/blob/hipster.txt
